price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
66150,4000,3,2,2,1,0,1,0,1,1,0,semi-furnished
66150,10500,3,2,1,1,0,1,0,1,1,1,furnished
65800,6000,3,2,4,1,0,0,0,1,0,0,semi-furnished
65100,3760,3,1,2,1,0,0,1,0,2,0,semi-furnished
65100,8250,3,2,3,1,0,0,0,1,0,0,furnished
65100,6670,3,1,3,1,0,1,0,0,0,1,unfurnished
64750,3960,3,1,1,1,0,1,0,0,2,0,semi-furnished
64750,7410,3,1,1,1,1,1,0,1,2,1,unfurnished
64400,8580,5,3,2,1,0,0,0,0,2,0,furnished
64400,5000,3,1,2,1,0,0,0,1,0,0,semi-furnished
64190,6750,2,1,1,1,1,1,0,0,2,1,furnished
64050,4800,3,2,4,1,1,0,0,1,0,0,furnished
63000,7200,3,2,1,1,0,1,0,1,3,0,semi-furnished
63000,6000,4,2,4,1,0,0,0,0,1,0,semi-furnished
63000,4100,3,2,3,1,0,0,0,1,2,0,semi-furnished
63000,9000,3,1,1,1,0,1,0,0,1,1,furnished
63000,6400,3,1,1,1,1,1,0,1,1,1,semi-furnished
62930,6600,3,2,3,1,0,0,0,1,0,1,unfurnished
62650,6000,4,1,3,1,1,1,0,0,0,1,unfurnished
62300,6600,3,2,1,1,0,1,0,1,0,1,unfurnished
62300,5500,3,1,3,1,0,0,0,0,1,1,unfurnished
61950,5500,3,2,4,1,1,0,0,1,1,0,semi-furnished
61950,6350,3,2,3,1,1,0,0,1,0,0,furnished
61950,5500,3,2,1,1,1,1,0,0,2,1,furnished
61600,4500,3,1,4,1,0,0,0,1,0,0,unfurnished
61600,5450,4,2,1,1,0,1,0,1,0,1,semi-furnished
61250,6420,3,1,3,1,0,1,0,0,0,1,unfurnished
61075,3240,4,1,3,1,0,0,0,0,1,0,semi-furnished
60900,6615,4,2,2,1,1,0,1,0,1,0,semi-furnished
60900,6600,3,1,1,1,1,1,0,0,2,1,semi-furnished
60900,8372,3,1,3,1,0,0,0,1,2,0,unfurnished
60830,4300,6,2,2,1,0,0,0,0,0,0,furnished
60830,9620,3,1,1,1,0,1,0,0,2,1,furnished
60200,6800,2,1,1,1,1,1,0,0,2,0,furnished
60200,8000,3,1,1,1,1,1,0,1,2,1,semi-furnished
60200,6900,3,2,1,1,1,1,0,0,0,1,unfurnished
59500,3700,4,1,2,1,1,0,0,1,0,0,furnished
59500,6420,3,1,1,1,0,1,0,1,0,1,furnished
59500,7020,3,1,1,1,0,1,0,1,2,1,semi-furnished
59500,6540,3,1,1,1,1,1,0,0,2,1,furnished
59500,7231,3,1,2,1,1,1,0,1,0,1,semi-furnished
59500,6254,4,2,1,1,0,1,0,0,1,1,semi-furnished
59500,7320,4,2,2,1,0,0,0,0,0,0,furnished
59500,6525,3,2,4,1,0,0,0,0,1,0,furnished
59430,15600,3,1,1,1,0,0,0,1,2,0,semi-furnished
58800,7160,3,1,1,1,0,1,0,0,2,1,unfurnished
58800,6500,3,2,3,1,0,0,0,1,0,0,unfurnished
58730,5500,3,1,3,1,1,0,0,1,1,0,furnished
58730,11460,3,1,3,1,0,0,0,0,2,1,semi-furnished
58660,4800,3,1,1,1,1,1,0,0,0,0,unfurnished
58100,5828,4,1,4,1,1,0,0,0,0,0,semi-furnished
58100,5200,3,1,3,1,0,0,0,1,0,0,semi-furnished
58100,4800,3,1,3,1,0,0,0,1,0,0,unfurnished
58030,7000,3,1,1,1,0,1,0,0,2,1,semi-furnished
57750,6000,3,2,4,1,0,0,0,1,0,0,unfurnished
57400,5400,4,2,2,1,0,0,0,1,2,0,unfurnished
57400,4640,4,1,2,1,0,0,0,0,1,0,semi-furnished
57400,5000,3,1,3,1,0,0,0,1,0,0,semi-furnished
57400,6360,3,1,1,1,1,1,0,1,2,1,furnished
57400,5800,3,2,4,1,0,0,0,1,0,0,unfurnished
56525,6660,4,2,2,1,1,1,0,0,1,1,semi-furnished
56000,10500,4,2,2,1,0,0,0,0,1,0,semi-furnished
56000,4800,5,2,3,0,0,1,1,0,0,0,unfurnished
56000,4700,4,1,2,1,1,1,0,1,1,0,furnished
56000,5000,3,1,4,1,0,0,0,0,0,0,furnished
56000,10500,2,1,1,1,0,0,0,0,1,0,semi-furnished
56000,5500,3,2,2,1,0,0,0,0,1,0,semi-furnished
56000,6360,3,1,3,1,0,0,0,0,0,1,semi-furnished
56000,6600,4,2,1,1,0,1,0,0,0,1,semi-furnished
56000,5136,3,1,2,1,1,1,0,1,0,1,unfurnished
55650,4400,4,1,2,1,0,0,0,1,2,1,semi-furnished
55650,5400,5,1,2,1,1,1,0,1,0,1,furnished
55300,3300,3,3,2,1,0,1,0,0,0,0,semi-furnished
55300,3650,3,2,2,1,0,0,0,0,2,0,semi-furnished
55300,6100,3,2,1,1,0,1,0,0,2,1,furnished
55230,6900,3,1,1,1,1,1,0,0,0,1,semi-furnished
54950,2817,4,2,2,0,1,1,0,0,1,0,furnished
54950,7980,3,1,1,1,0,0,0,0,2,0,semi-furnished
54600,3150,3,2,1,1,1,1,0,1,0,0,furnished
54600,6210,4,1,4,1,1,0,0,1,0,0,furnished
54600,6100,3,1,3,1,1,0,0,1,0,1,semi-furnished
54600,6600,4,2,2,1,1,1,0,0,0,1,semi-furnished
54250,6825,3,1,1,1,1,1,0,1,0,1,semi-furnished
53900,6710,3,2,2,1,1,1,0,0,1,1,furnished
53830,6450,3,2,1,1,1,1,1,0,0,0,unfurnished
53200,7800,3,1,1,1,0,1,0,1,2,1,unfurnished
52850,4600,2,2,1,1,0,0,0,1,2,0,semi-furnished
52500,4260,4,1,2,1,0,1,0,1,0,0,furnished
52500,6540,4,2,2,0,0,0,0,1,0,0,semi-furnished
52500,5500,3,2,1,1,0,1,0,0,0,0,semi-furnished
52500,10269,3,1,1,1,0,0,0,0,1,1,semi-furnished
52500,8400,3,1,2,1,1,1,0,1,2,1,unfurnished
52500,5300,4,2,1,1,0,0,0,1,0,1,unfurnished
52500,3800,3,1,2,1,1,1,0,0,1,1,unfurnished
52500,9800,4,2,2,1,1,0,0,0,2,0,semi-furnished
52500,8520,3,1,1,1,0,0,0,1,2,0,furnished
52430,6050,3,1,1,1,0,1,0,0,0,1,semi-furnished
52290,7085,3,1,1,1,1,1,0,0,2,1,semi-furnished
52150,3180,3,2,2,1,0,0,0,0,2,0,semi-furnished
52150,4500,4,2,1,0,0,1,0,1,2,0,semi-furnished
52150,7200,3,1,2,1,1,1,0,0,1,1,furnished
51450,3410,3,1,2,0,0,0,0,1,0,0,semi-furnished
51450,7980,3,1,1,1,0,0,0,0,1,1,semi-furnished
51100,3000,3,2,2,1,1,1,0,0,0,0,furnished
51100,3000,3,1,2,1,0,1,0,0,0,0,unfurnished
51100,11410,2,1,2,1,0,0,0,0,0,1,furnished
51100,6100,3,1,1,1,0,1,0,1,0,1,semi-furnished
50750,5720,2,1,2,1,0,0,0,1,0,1,unfurnished
50400,3540,2,1,1,0,1,1,0,0,0,0,semi-furnished
50400,7600,4,1,2,1,0,0,0,1,2,0,furnished
50400,10700,3,1,2,1,1,1,0,0,0,0,semi-furnished
50400,6600,3,1,1,1,1,1,0,0,0,1,furnished
50330,4800,2,1,1,1,1,1,0,0,0,0,semi-furnished
50050,8150,3,2,1,1,1,1,0,0,0,0,semi-furnished
49700,4410,4,3,2,1,0,1,0,0,2,0,semi-furnished
49700,7686,3,1,1,1,1,1,1,0,0,0,semi-furnished
49560,2800,3,2,2,0,0,1,0,1,1,0,semi-furnished
49350,5948,3,1,2,1,0,0,0,1,0,0,semi-furnished
49070,4200,3,1,2,1,0,0,0,0,1,0,furnished
49000,4520,3,1,2,1,0,1,0,1,0,0,semi-furnished
49000,4095,3,1,2,0,1,1,0,1,0,0,semi-furnished
49000,4120,2,1,1,1,0,1,0,0,1,0,semi-furnished
49000,5400,4,1,2,1,0,0,0,0,0,0,semi-furnished
49000,4770,3,1,1,1,1,1,0,0,0,0,semi-furnished
49000,6300,3,1,1,1,0,0,0,1,2,0,semi-furnished
49000,5800,2,1,1,1,1,1,0,1,0,0,semi-furnished
49000,3000,3,1,2,1,0,1,0,1,0,0,semi-furnished
49000,2970,3,1,3,1,0,0,0,0,0,0,semi-furnished
49000,6720,3,1,1,1,0,0,0,0,0,0,unfurnished
49000,4646,3,1,2,1,1,1,0,0,2,0,semi-furnished
49000,12900,3,1,1,1,0,0,0,0,2,0,furnished
48930,3420,4,2,2,1,0,1,0,1,2,0,semi-furnished
48930,4995,4,2,1,1,0,1,0,0,0,0,semi-furnished
48650,4350,2,1,1,1,0,1,0,0,0,0,unfurnished
48300,4160,3,1,3,1,0,0,0,0,0,0,unfurnished
48300,6040,3,1,1,1,0,0,0,0,2,1,semi-furnished
48300,6862,3,1,2,1,0,0,0,1,2,1,furnished
48300,4815,2,1,1,1,0,0,0,1,0,1,semi-furnished
47950,7000,3,1,2,1,0,1,0,0,0,0,unfurnished
47950,8100,4,1,4,1,0,1,0,1,2,0,semi-furnished
47670,3420,4,2,2,1,0,0,0,0,0,0,semi-furnished
47600,9166,2,1,1,1,0,1,0,1,2,0,semi-furnished
47600,6321,3,1,2,1,0,1,0,1,1,0,furnished
47600,10240,2,1,1,1,0,0,0,1,2,1,unfurnished
47530,6440,2,1,1,1,0,0,0,1,3,0,semi-furnished
46900,5170,3,1,4,1,0,0,0,1,0,0,semi-furnished
46900,6000,2,1,1,1,0,1,0,1,1,0,furnished
46900,3630,3,1,2,1,0,0,0,0,2,0,semi-furnished
46900,9667,4,2,2,1,1,1,0,0,1,0,semi-furnished
46900,5400,2,1,2,1,0,0,0,0,0,1,semi-furnished
46900,4320,3,1,1,1,0,0,0,0,0,1,semi-furnished
46550,3745,3,1,2,1,0,1,0,0,0,0,furnished
46200,4160,3,1,1,1,1,1,0,1,0,0,unfurnished
46200,3880,3,2,2,1,0,1,0,0,2,0,semi-furnished
46200,5680,3,1,2,1,1,0,0,1,1,0,semi-furnished
46200,2870,2,1,2,1,1,1,0,0,0,1,semi-furnished
46200,5010,3,1,2,1,0,1,0,0,0,0,semi-furnished
46130,4510,4,2,2,1,0,1,0,0,0,0,semi-furnished
45850,4000,3,1,2,1,0,0,0,0,1,0,furnished
45850,3840,3,1,2,1,0,0,0,0,1,1,semi-furnished
45500,3760,3,1,1,1,0,0,0,0,2,0,semi-furnished
45500,3640,3,1,2,1,0,0,0,1,0,0,furnished
45500,2550,3,1,2,1,0,1,0,0,0,0,furnished
45500,5320,3,1,2,1,1,1,0,0,0,1,semi-furnished
45500,5360,3,1,2,1,0,0,0,0,2,1,unfurnished
45500,3520,3,1,1,1,0,0,0,0,0,1,semi-furnished
45500,8400,4,1,4,1,0,0,0,0,3,0,unfurnished
45430,4100,2,2,1,1,1,1,0,0,0,0,semi-furnished
45430,4990,4,2,2,1,1,1,0,0,0,1,furnished
45150,3510,3,1,3,1,0,0,0,0,0,0,semi-furnished
45150,3450,3,1,2,1,0,1,0,0,1,0,semi-furnished
45150,9860,3,1,1,1,0,0,0,0,0,0,semi-furnished
45150,3520,2,1,2,1,0,0,0,0,0,1,furnished
44800,4510,4,1,2,1,0,0,0,1,2,0,semi-furnished
44800,5885,2,1,1,1,0,0,0,1,1,0,unfurnished
44800,4000,3,1,2,1,0,0,0,0,2,0,furnished
44800,8250,3,1,1,1,0,0,0,0,0,0,furnished
44800,4040,3,1,2,1,0,0,0,0,1,0,semi-furnished
44730,6360,2,1,1,1,0,1,0,1,1,0,furnished
44730,3162,3,1,2,1,0,0,0,1,1,0,furnished
44730,3510,3,1,2,1,0,0,0,0,0,0,semi-furnished
44450,3750,2,1,1,1,1,1,0,0,0,0,semi-furnished
44100,3968,3,1,2,0,0,0,0,0,0,0,semi-furnished
44100,4900,2,1,2,1,0,1,0,0,0,0,semi-furnished
44030,2880,3,1,2,1,0,0,0,0,0,1,semi-furnished
44030,4880,3,1,1,1,0,0,0,0,2,1,unfurnished
44030,4920,3,1,2,1,0,0,0,0,1,0,semi-furnished
43820,4950,4,1,2,1,0,0,0,1,0,0,semi-furnished
43750,3900,3,1,2,1,0,0,0,0,0,0,unfurnished
43400,4500,3,2,3,1,0,0,1,0,1,0,furnished
43400,1905,5,1,2,0,0,1,0,0,0,0,semi-furnished
43400,4075,3,1,1,1,1,1,0,0,2,0,semi-furnished
43400,3500,4,1,2,1,0,0,0,0,2,0,furnished
43400,6450,4,1,2,1,0,0,0,0,0,0,semi-furnished
43190,4032,2,1,1,1,0,1,0,0,0,0,furnished
43050,4400,2,1,1,1,0,0,0,0,1,0,semi-furnished
43050,10360,2,1,1,1,0,0,0,0,1,1,semi-furnished
42770,3400,3,1,2,1,0,1,0,0,2,1,semi-furnished
42700,6360,2,1,1,1,0,0,0,0,0,0,furnished
42700,6360,2,1,2,1,0,0,0,0,0,0,unfurnished
42700,4500,2,1,1,1,0,0,0,1,2,0,furnished
42700,2175,3,1,2,0,1,1,0,1,0,0,unfurnished
42700,4360,4,1,2,1,0,0,0,0,0,0,furnished
42700,7770,2,1,1,1,0,0,0,0,1,0,furnished
42350,6650,3,1,2,1,1,0,0,0,0,0,semi-furnished
42350,2787,3,1,1,1,0,1,0,0,0,1,furnished
42000,5500,3,1,2,1,0,0,0,1,0,0,unfurnished
42000,5040,3,1,2,1,0,1,0,1,0,0,unfurnished
42000,5850,2,1,1,1,1,1,0,0,2,0,semi-furnished
42000,2610,4,3,2,0,0,0,0,0,0,0,semi-furnished
42000,2953,3,1,2,1,0,1,0,1,0,0,unfurnished
42000,2747,4,2,2,0,0,0,0,0,0,0,semi-furnished
42000,4410,2,1,1,0,0,0,0,0,1,0,unfurnished
42000,4000,4,2,2,0,0,0,0,0,0,0,semi-furnished
42000,2325,3,1,2,0,0,0,0,0,0,0,semi-furnished
42000,4600,3,2,2,1,0,0,0,1,1,0,semi-furnished
42000,3640,3,2,2,1,0,1,0,0,0,0,unfurnished
42000,5800,3,1,1,1,0,0,1,0,2,0,semi-furnished
42000,7000,3,1,1,1,0,0,0,0,3,0,furnished
42000,4079,3,1,3,1,0,0,0,0,0,0,semi-furnished
42000,3520,3,1,2,1,0,0,0,0,0,1,semi-furnished
42000,2145,3,1,3,1,0,0,0,0,1,1,unfurnished
42000,4500,3,1,1,1,0,1,0,0,0,0,furnished
41930,8250,3,1,1,1,0,1,0,0,3,0,semi-furnished
41930,3450,3,1,2,1,0,0,0,0,1,0,semi-furnished
41650,4840,3,1,2,1,0,0,0,0,1,0,semi-furnished
41650,4080,3,1,2,1,0,0,0,0,2,0,semi-furnished
41650,4046,3,1,2,1,0,1,0,0,1,0,semi-furnished
41300,4632,4,1,2,1,0,0,0,1,0,0,semi-furnished
41300,5985,3,1,1,1,0,1,0,0,0,0,semi-furnished
41230,6060,2,1,1,1,0,1,0,0,1,0,semi-furnished
40985,3600,3,1,1,1,0,1,0,1,0,1,furnished
40950,3680,3,2,2,1,0,0,0,0,0,0,semi-furnished
40950,4040,2,1,2,1,0,0,0,0,1,0,semi-furnished
40950,5600,2,1,1,1,0,0,0,1,0,0,semi-furnished
40600,5900,4,2,2,0,0,1,0,0,1,0,unfurnished
40600,4992,3,2,2,1,0,0,0,0,2,0,unfurnished
40600,4340,3,1,1,1,0,0,0,0,0,0,semi-furnished
40600,3000,4,1,3,1,0,1,0,1,2,0,semi-furnished
40600,4320,3,1,2,1,0,0,0,0,2,1,furnished
40250,3630,3,2,2,1,0,0,1,0,2,0,semi-furnished
40250,3460,3,2,1,1,0,1,0,1,1,0,furnished
40250,5400,3,1,1,1,0,0,0,0,3,0,semi-furnished
40075,4500,3,1,2,0,0,1,0,1,0,0,semi-furnished
40075,3460,4,1,2,1,0,0,0,1,0,0,semi-furnished
39900,4100,4,1,1,0,0,1,0,0,0,0,unfurnished
39900,6480,3,1,2,0,0,0,0,1,1,0,semi-furnished
39900,4500,3,2,2,0,0,1,0,1,0,0,semi-furnished
39900,3960,3,1,2,1,0,0,0,0,0,0,furnished
39900,4050,2,1,2,1,1,1,0,0,0,1,unfurnished
39200,7260,3,2,1,1,1,1,0,0,3,0,furnished
39200,5500,4,1,2,1,1,1,0,0,0,0,semi-furnished
39200,3000,3,1,2,1,0,0,0,0,0,0,semi-furnished
39200,3290,2,1,1,1,0,0,1,0,1,0,furnished
39200,3816,2,1,1,1,0,1,0,1,2,0,furnished
39200,8080,3,1,1,1,0,0,0,1,2,0,semi-furnished
39200,2145,4,2,1,1,0,1,0,0,0,1,unfurnished
38850,3780,2,1,2,1,1,1,0,0,0,0,semi-furnished
38850,3180,4,2,2,1,0,0,0,0,0,0,furnished
38500,5300,5,2,2,1,0,0,0,0,0,0,semi-furnished
38500,3180,2,2,1,1,0,1,0,0,2,0,semi-furnished
38500,7152,3,1,2,1,0,0,0,1,0,0,furnished
38500,4080,2,1,1,1,0,0,0,0,0,0,semi-furnished
38500,3850,2,1,1,1,0,0,0,0,0,0,semi-furnished
38500,2015,3,1,2,1,0,1,0,0,0,1,semi-furnished
38500,2176,2,1,2,1,1,0,0,0,0,1,semi-furnished
38360,3350,3,1,2,1,0,0,0,0,0,0,unfurnished
38150,3150,2,2,1,0,0,1,0,0,0,0,semi-furnished
37800,4820,3,1,2,1,0,0,0,0,0,0,semi-furnished
37800,3420,2,1,2,1,0,0,1,0,1,0,semi-furnished
37800,3600,2,1,1,1,0,0,0,0,0,0,semi-furnished
37800,5830,2,1,1,1,0,0,0,0,2,0,unfurnished
37800,2856,3,1,3,1,0,0,0,0,0,1,furnished
37800,8400,2,1,1,1,0,0,0,0,1,0,furnished
37730,8250,3,1,1,1,0,0,0,0,2,0,furnished
37730,2520,5,2,1,0,0,1,0,1,1,0,furnished
37730,6930,4,1,2,0,0,0,0,0,1,0,furnished
37450,3480,2,1,1,1,0,0,0,0,0,1,semi-furnished
37100,3600,3,1,1,1,0,0,0,0,1,0,unfurnished
37100,4040,2,1,1,1,0,0,0,0,0,0,semi-furnished
37100,6020,3,1,1,1,0,0,0,0,0,0,semi-furnished
37100,4050,2,1,1,1,0,0,0,0,0,0,furnished
37100,3584,2,1,1,1,0,0,1,0,0,0,semi-furnished
37030,3120,3,1,2,0,0,1,1,0,0,0,semi-furnished
37030,5450,2,1,1,1,0,0,0,0,0,0,furnished
36750,3630,2,1,1,1,0,1,0,0,0,0,furnished
36750,3630,2,1,1,1,0,0,0,1,0,0,unfurnished
36750,5640,2,1,1,0,0,0,0,0,0,0,semi-furnished
36750,3600,2,1,1,1,0,0,0,0,0,0,furnished
36400,4280,2,1,1,1,0,0,0,1,2,0,semi-furnished
36400,3570,3,1,2,1,0,1,0,0,0,0,semi-furnished
36400,3180,3,1,2,0,0,1,0,0,0,0,semi-furnished
36400,3000,2,1,2,1,0,0,0,1,0,0,furnished
36400,3520,2,2,1,1,0,1,0,0,0,0,semi-furnished
36400,5960,3,1,2,1,1,1,0,0,0,0,unfurnished
36400,4130,3,2,2,1,0,0,0,0,2,0,semi-furnished
36400,2850,3,2,2,0,0,1,0,0,0,1,unfurnished
36400,2275,3,1,3,1,0,0,1,1,0,1,semi-furnished
36330,3520,3,1,1,1,0,0,0,0,2,1,unfurnished
36050,4500,2,1,1,1,0,0,0,0,0,0,semi-furnished
36050,4000,2,1,1,1,0,0,0,0,0,1,semi-furnished
35700,3150,3,1,2,1,0,1,0,0,0,0,furnished
35700,4500,4,2,2,1,0,1,0,0,2,0,furnished
35700,4500,2,1,1,0,0,0,0,0,0,0,furnished
35700,3640,2,1,1,1,0,0,0,0,0,0,unfurnished
35350,3850,3,1,1,1,0,0,0,0,2,0,unfurnished
35000,4240,3,1,2,1,0,0,0,1,0,0,semi-furnished
35000,3650,3,1,2,1,0,0,0,0,0,0,unfurnished
35000,4600,4,1,2,1,0,0,0,0,0,0,semi-furnished
35000,2135,3,2,2,0,0,0,0,0,0,0,unfurnished
35000,3036,3,1,2,1,0,1,0,0,0,0,semi-furnished
35000,3990,3,1,2,1,0,0,0,0,0,0,semi-furnished
35000,7424,3,1,1,0,0,0,0,0,0,0,unfurnished
35000,3480,3,1,1,0,0,0,0,1,0,0,unfurnished
35000,3600,6,1,2,1,0,0,0,0,1,0,unfurnished
35000,3640,2,1,1,1,0,0,0,0,1,0,semi-furnished
35000,5900,2,1,1,1,0,0,0,0,1,0,furnished
35000,3120,3,1,2,1,0,0,0,0,1,0,unfurnished
35000,7350,2,1,1,1,0,0,0,0,1,0,semi-furnished
35000,3512,2,1,1,1,0,0,0,0,1,1,unfurnished
35000,9500,3,1,2,1,0,0,0,0,3,1,unfurnished
35000,5880,2,1,1,1,0,0,0,0,0,0,unfurnished
35000,12944,3,1,1,1,0,0,0,0,0,0,unfurnished
34930,4900,3,1,2,0,0,0,0,0,0,0,unfurnished
34650,3060,3,1,1,1,0,0,0,0,0,0,unfurnished
34650,5320,2,1,1,1,0,0,0,0,1,1,unfurnished
34650,2145,3,1,3,1,0,0,0,0,0,1,furnished
34300,4000,2,1,1,1,0,0,0,0,0,0,unfurnished
34300,3185,2,1,1,1,0,0,0,0,2,0,unfurnished
34300,3850,3,1,1,1,0,0,0,0,0,0,unfurnished
34300,2145,3,1,3,1,0,0,0,0,0,1,furnished
34300,2610,3,1,2,1,0,1,0,0,0,1,unfurnished
34300,1950,3,2,2,1,0,1,0,0,0,1,unfurnished
34230,4040,2,1,1,1,0,0,0,0,0,0,unfurnished
33950,4785,3,1,2,1,1,1,0,1,1,0,furnished
33950,3450,3,1,1,1,0,1,0,0,2,0,unfurnished
33950,3640,2,1,1,1,0,0,0,0,0,0,furnished
33600,3500,4,1,2,1,0,0,0,1,2,0,unfurnished
33600,4960,4,1,3,0,0,0,0,0,0,0,semi-furnished
33600,4120,2,1,2,1,0,0,0,0,0,0,unfurnished
33600,4750,2,1,1,1,0,0,0,0,0,0,unfurnished
33600,3720,2,1,1,0,0,0,0,1,0,0,unfurnished
33600,3750,3,1,1,1,0,0,0,0,0,0,unfurnished
33600,3100,3,1,2,0,0,1,0,0,0,0,semi-furnished
33600,3185,2,1,1,1,0,1,0,0,2,0,furnished
33530,2700,3,1,1,0,0,0,0,0,0,0,furnished
33320,2145,3,1,2,1,0,1,0,0,0,1,furnished
33250,4040,2,1,1,1,0,0,0,0,1,0,unfurnished
33250,4775,4,1,2,1,0,0,0,0,0,0,unfurnished
32900,2500,2,1,1,0,0,0,0,1,0,0,unfurnished
32900,3180,4,1,2,1,0,1,0,1,0,0,unfurnished
32900,6060,3,1,1,1,1,1,0,0,0,0,furnished
32900,3480,4,1,2,0,0,0,0,0,1,0,semi-furnished
32900,3792,4,1,2,1,0,0,0,0,0,0,semi-furnished
